# epoch,DMVAE_loss_,DMVAE_recon_loss_, DMVAE_latent_loss_,DMVAE_auc_svm_,DMVAE_auc_dt_,DMVAE_auc_rf_, D_dss_loss, D_dss_RE, D_dss_KL, D_dss_svm, D_dss_dt, D_dss_rf, mvae_loss, mvae_RE, mvae_KL, mvae_svm, mvae_dt, mvae_rf, vae_loss, vae_RE, vae_KL, vae_svm, vae_dt, vae_rf, ae_loss, ae_svm, ae_dt, ae_rf
0.0,42.875728607177734,0.06461828947067261,42.81110763549805,0.5,0.5,0.5049750374137353,49.206050872802734,0.09836945682764053,49.10768127441406,0.5292492307119637,0.5843875792302637,0.6063009748384375,35.93394470214844,0.06345906853675842,35.870487213134766,0.5,0.5,0.5025158272908333,0.10742977261543274,0.10513146221637726,0.002298325067386031,0.5,0.5001023711942857,0.4999885614934114,0.05738093703985214,0.8772061245654243,0.9702005702417613,0.9956597653051096
10.0,3.3520331382751465,0.022864358499646187,3.3291687965393066,0.8774938133251735,0.8775281288449392,0.8774938133251735,8.635519027709961,0.012884899973869324,8.622633934020996,0.9156699822867628,0.9123420210281402,0.9223190004238689,3.5384252071380615,0.024318985641002655,3.514106035232544,0.8775281288449392,0.8774823748185849,0.8815806747800804,0.041889648884534836,0.04184043034911156,4.921710569760762e-05,0.5,0.5001023711942857,0.4999542459736457,0.00017118966206908226,0.8749767665106744,0.9727650283840068,0.9962522661876695
20.0,2.785198926925659,0.02440314181149006,2.7607953548431396,0.8825397832384865,0.8973099346725564,0.9133691851610662,5.358827114105225,0.016289563849568367,5.342536926269531,0.9789147109926537,0.9757806289810256,0.9715799578252443,1.6448736190795898,0.021926838904619217,1.6229467391967773,0.9052858195739378,0.9331063876923521,0.9502174054219997,0.041790030896663666,0.041769854724407196,2.0182669686619192e-05,0.5,0.5000223016481656,0.5001366867140514,0.00018805009312927723,0.8749538894974972,0.9879486921503002,0.9957398348512296
30.0,2.916630983352661,0.023867351934313774,2.892763614654541,0.9620325321884204,0.9610734237300144,0.9685351511999213,3.729478120803833,0.019246229901909828,3.7102320194244385,0.9847144716107898,0.9759693987365584,0.9748427402344048,2.044003486633301,0.02533436194062233,2.0186691284179688,0.9744801602136396,0.9665071521373159,0.9716898087646803,0.04096093028783798,0.040948331356048584,1.259774035133887e-05,0.5,0.4999313689604685,0.4999885614934114,0.000174501386936754,0.8751025900831486,0.9674908637039339,0.9965256396157722
40.0,1.2248797416687012,0.02405395731329918,1.2008256912231445,0.9835718404755976,0.9776148175902791,0.9832761653993294,2.1946566104888916,0.016904881224036217,2.1777520179748535,0.985388192769493,0.9778498479435354,0.9796731046175693,0.9899644255638123,0.02354915253818035,0.966415286064148,0.9783645807400215,0.973980893478823,0.9761341407488912,0.041912611573934555,0.04190507158637047,7.543028004874941e-06,0.5,0.4998398609077599,0.4998856149341142,0.0005038515664637089,0.8752850308235545,0.9898245384371845,0.9962522661876695
50.0,1.2087630033493042,0.025588346645236015,1.183174729347229,0.9854974683439174,0.9816931173636555,0.9827871864410782,1.8458619117736816,0.02038508653640747,1.8254770040512085,0.9862780948233559,0.9797434617521357,0.9834923462944893,0.4455888569355011,0.025262638926506042,0.42032626271247864,0.9800174105452499,0.9775576250573363,0.9787083113026903,0.042200084775686264,0.04219488054513931,5.203903128858656e-06,0.5,0.5,0.5,9.318073716713116e-05,0.8753994158894404,0.9735708333366687,0.9958536445521038
60.0,0.878282368183136,0.02340337261557579,0.8548790216445923,0.9856450181995458,0.9827076922599698,0.9842798771540666,2.0954887866973877,0.01924162544310093,2.076247215270996,0.9873413005710822,0.9853710694064315,0.985440851175986,0.5687859654426575,0.026371197775006294,0.5424147248268127,0.9801998512856557,0.9794603759124788,0.9794380742643134,0.04149020090699196,0.041485827416181564,4.376948254503077e-06,0.5,0.4998398609077599,0.5000223016481656,0.0005445338319987059,0.8752387014321886,0.9756571756622401,0.9955459556042354
70.0,0.5205963253974915,0.023952186107635498,0.49664416909217834,0.9854288373043859,0.9831629310634666,0.983972188206198,1.3550022840499878,0.021004758775234222,1.333997368812561,0.9887996757643048,0.9861116955096313,0.9869552681721284,0.6130765080451965,0.02559720352292061,0.5874794125556946,0.982876968398752,0.9821369176605638,0.9824102910886666,0.04161973297595978,0.04161771014332771,2.0259619759599445e-06,0.5,0.49996510911522274,0.4999885614934114,5.980041896691546e-05,0.8748395044316113,0.9769777134113883,0.9953068976958983
80.0,0.335482656955719,0.025263587012887,0.31021904945373535,0.9854179741628087,0.9835506895574553,0.9851571899713178,1.3461109399795532,0.02048894390463829,1.3256219625473022,0.9901219396084876,0.9872629571199968,0.9872629571199968,0.48039937019348145,0.025119194760918617,0.4552801251411438,0.9852812874487574,0.9837674458176267,0.9846670602830436,0.04201715439558029,0.04201555252075195,1.5963912574079586e-06,0.5,0.49986273792093705,0.4999885614934114,0.00020655857224483043,0.8749069847411198,0.974632888354372,0.9953183362024869
90.0,0.4257444143295288,0.025679945945739746,0.4000644087791443,0.9854751666957519,0.9838469399987353,0.9844737564010608,0.6801409721374512,0.019305149093270302,0.6608359217643738,0.9918079342034587,0.9876278386008084,0.9899972667660364,0.7630323171615601,0.026082271710038185,0.7369499802589417,0.9858629251897404,0.9845646890887579,0.985658182801169,0.04124202951788902,0.04124048724770546,1.5418531802424695e-06,0.5,0.49986273792093705,0.49997712298682284,0.00041346054058521986,0.8746782146093481,0.9762044978834572,0.9957512733578182
