,Unnamed: 0.1,layer1,layer2,svm,rf,nb,kn,sgd,dae_svm,dae_rf,dae_nb,dae_kn,dae_sgd,method,time_svm,time_rf,time_nb,time_kn,time_sgd,dt,dae_dt,time_dt
0,,25,15,0.8942576338442193,0.9261168131199102,0.6821506480493821,0.9189943249022492,0.8857918511501984,0.9329766974282068,0.9686102894946824,0.9184339483982488,0.9721503826253424,0.9258745307385922,DAE,0.002899213055041729,0.023859417422332142,1.9229641266938844,0.09899724721369406,0.0029486522907479647,,,
1,,25,15,0.8947353339799781,0.9214081981170448,0.6928685175639824,0.9138510169834844,0.8655601519670243,0.9298959878927008,0.9632289369718908,0.9104789398537968,0.9648922084787324,0.9180097721318036,DAE,0.0019157596003249024,0.01810094125127426,0.4818377371882488,0.04829392073004562,0.0018891680030356922,,,
2,,25,15,0.8895753030812846,0.9240973358163954,0.6920127795527156,0.9192496177128064,0.8876888532050492,0.9224473376487088,0.9612957120536236,0.9089136214174108,0.9696156639470694,0.9046310054069902,DAE,0.0024579650727077503,0.01802944802741884,0.5167550277192363,0.042665193437829055,0.002421345014153752,,,
3,,25,15,0.8890121912579273,0.9158382671791562,0.6871194690192083,0.9180130854051616,0.8497352395203123,0.9298214691552382,0.9598890361623664,0.8709230452763645,0.9638977686132756,0.9270266369612928,DAE,0.0018813824664408781,0.022136760696141983,0.4810006086883476,0.04802302287639616,0.0018579395903229766,,,
4,,25,15,0.8873537263219483,0.9139983909895412,0.6892260294010093,0.9042940466613032,0.8766208951949097,0.91805931397645,0.9538323703649528,0.908926351203101,0.9554368097710816,0.909209756454326,DAE,0.001999136011614513,0.016820856695636696,0.4830536180252082,0.0491228107951012,0.0019547519830490656,,,
5,,25,15,0.8908419919692014,0.920241751873163,0.6936858881483627,0.9140327855280044,0.8244248044045204,0.9359688703067434,0.9630061679844352,0.9157341557312582,0.9670878006374966,0.9306254915759408,DAE,0.0021894266032784397,0.016442341590995214,0.511034983199735,0.05282220232276448,0.0021651253771426053,,,
6,,25,15,0.9032795500645401,0.942874792550249,0.7005135533837359,0.9398829061405128,0.8692209109349067,0.92352019177577,0.9640374331550802,0.903485155817813,0.9714871842153788,0.9244421906693712,DAE,0.003448524716643389,0.02888943263709088,1.1798897138929427,0.1250321592264508,0.0034781356356037183,,,
7,,25,15,0.8969743170211708,0.9198534880261788,0.6884116713768654,0.9172529624671524,,0.9314033913431504,0.9690304427586892,0.9224490554811842,0.966158461004512,,DAE,0.002432803339895649,0.02127594777438933,0.717569889929542,0.0746707622954232,,0.8769671277703405,0.8863168724279834,0.0024580944722079412
8,,25,15,0.8862524256373054,0.9207919238935028,0.6817946479111714,0.9115396426739528,,0.9303105479740844,0.9615072731769748,0.9183823883376852,0.9640740082899112,,DAE,0.00268395267315765,0.02159466305667596,0.7949415281960885,0.07158195309270185,,0.9167175172097825,0.9430794845448104,0.0027565522627397017
9,,25,15,0.9013825507569136,0.9367058767163344,0.7035086496158021,0.9337316677873472,,0.9178621050840348,0.9594320545460252,0.9066054615413844,0.962729663779331,,DAE,0.0027181680576664345,0.02083304563511124,0.7170970857224277,0.07245064860067453,,0.9349682712498368,0.940051991865016,0.0027868554690260523
10,,25,15,0.9124234503360716,0.9472827981080408,0.7165471745083395,0.9416417724670152,,0.9342979835698282,0.9720463032113515,0.9317911376649242,0.9730719442369928,,DAE,0.002728811166557129,0.02025242576443842,0.8095480790778773,0.06960747415584873,,0.9389980084640278,0.9484403783918348,0.0028028880670996925
11,,25,15,0.908971807628524,0.9470315091210614,0.7065671641791045,0.9441293532338308,,0.9306799336650085,0.9723051409618574,0.925787728026534,0.9735489220563848,,DAE,0.002625645258371671,0.019892140892715484,0.7334326835090573,0.06389330221699786,,0.9367495854063018,0.9533996683250416,0.0026510485369174645
12,,30,15,0.9066665063063092,0.9411268411719136,0.7204051863857375,0.9355185141562252,,0.9269208820704399,0.9580974238938038,0.9159385476991884,0.956903015714762,,DAE,0.001964607911646933,0.015798471244629124,1.1760147488101045,0.042994213233647535,,0.9356039475190318,0.9371139946483876,0.0020319387849128826
13,,30,15,0.9203067783404753,0.9461836180201116,0.7183443708609272,0.9404644345110365,,0.9370435877797072,0.9722892580536536,0.9314663625018984,0.9760990208183395,,DAE,0.0020750741083014872,0.016492969145444868,0.6660401492246081,0.05910661629237291,,0.9324974414504832,0.9572676837038552,0.0021702323440834707
14,,30,15,0.9108475476206278,0.9403287814428883,0.7064123581336696,0.9399815822658789,,0.9274125572443087,0.9631566502953474,0.9221821696422646,0.9662304207871507,,DAE,0.0019693460900122527,0.01556907612400754,0.5126170559956013,0.0472203944399043,,0.9312397955797437,0.9430867126833478,0.002067208775348223
