,Unnamed: 0.1,layer1,layer2,svm,rf,nb,kn,dt,ae_svm,ae_rf,ae_nb,ae_kn,ae_dt,method,time_svm,time_rf,time_nb,time_kn,time_dt
0,,25,15,0.887948024563048,0.920635362848806,0.685961827514818,0.9113187040506341,0.8820971177955309,0.928202213076604,0.960619297774412,0.905133483585431,0.9581073574036972,0.9271370469290352,AE,0.001011235527408,0.021000229789358,0.9075225353887968,0.08062020409220401,0.0010250252008110001
1,,25,15,0.891648792828466,0.9201506902051372,0.688739481933674,0.9199307045042072,0.8882665126766759,0.9298520596161248,0.964252323598966,0.900208986415883,0.9690232634878728,0.9294945828521152,AE,0.0010845726941410001,0.020461164411513,0.772095977424335,0.079081538358677,0.001044310039657
2,,25,15,0.8897155206743209,0.922592835335501,0.678637502488883,0.914396114024026,0.822527294750116,0.9276850899316379,0.964528439636291,0.9102264053892608,0.969329080108847,0.9300486991438242,AE,0.001234242626037,0.026178746027194,1.12577971480433,0.10323535258389299,0.0013061262050510002
3,,25,15,0.885856922413221,0.919279302449061,0.6841980819008431,0.9148009723236208,0.8809160748656,0.927280231632044,0.965718125705184,0.910696804274242,0.962726903165859,0.930023810313931,AE,0.001217159735353,0.023976935891747,0.9355035382447232,0.107892505295511,0.001252589318505
4,,25,15,0.884052517515734,0.9147137117523648,0.694724250880735,0.9175290939318372,0.883623283062186,0.9121863001227092,0.956428373510668,0.89903465542493,0.9636140304001899,0.902332462494557,AE,0.00158669667134,0.030525298961845002,0.950904282872249,0.09356086365187803,0.0014653199401610001
5,,25,15,0.8942576338442192,0.92611681311991,0.6821506480493821,0.918994324902249,0.885791851150198,0.930844181158543,0.9659448515201328,0.9048504584370841,0.972512437604614,0.9315268186108699,AE,0.001142381920851,0.021115498864128,0.997127119311915,0.085436886977632,0.0011001459239889998
6,,25,15,0.8934126730290881,0.9292365094069159,0.6898278864972271,0.922417676020277,0.881010425245965,0.9191898435467378,0.9670240073976,0.8863186668412221,0.96753317236705,0.9086846392095972,AE,0.000642403818697,0.014036869582197999,0.4943276141790821,0.036968725507263,0.000586762033615
7,,25,15,0.8835878532561,0.919349783093859,0.689984703728779,0.9097219087740408,0.854561297926227,0.9226409889917,0.9579929286090421,0.8920572230998771,0.957858772787683,0.918304119962888,AE,0.0006194785405800001,0.014020457412257,0.511063282870427,0.037119454358402,0.0005839583777779999
8,,25,15,0.8899472554979441,0.9166646800564192,0.682238462760991,0.9092297912072628,0.861234529272702,0.9167597890219921,0.954964787333373,0.900729085960625,0.9550790174225721,0.9172005681705301,AE,0.0007406396059249999,0.016011031490276002,0.6305921676200961,0.051799892354799,0.0007221139108150003
9,,25,15,0.894735333979978,0.921408198117045,0.692868517563982,0.913851016983484,0.8655601519670241,0.9283504628341159,0.960845188945996,0.9015792021895901,0.9654685896939741,0.92592101601187,AE,0.000643460581282,0.013236943438602,0.499166616321635,0.038404305128963,0.000606236658394
10,,25,15,0.8895753030812851,0.924097335816395,0.692012779552716,0.9192496177128059,0.8876888532050491,0.9162462062785052,0.9635365479882859,0.90495332598187,0.9621610636745541,0.909279667651674,AE,0.000737728117171,0.015088046421998003,0.496489211263186,0.040311438095942,0.000699490564865
11,,25,15,0.889012191257927,0.915838267179156,0.687119469019208,0.918013085405162,0.8497352395203119,0.918348515035442,0.954685895532416,0.8990078117612711,0.955730587964015,0.8963228817088,AE,0.0008764443813760001,0.014142739939937999,0.5191487675066829,0.038165563051111,0.000851793776589
